Id,Tags
1,0
2,0
3,0
4,1
5,0
6,1
7,0
8,1
9,0
10,1
11,0
12,0
13,0
14,1
15,1
16,1
17,0
18,1
19,1
20,1
21,0
22,1
23,1
24,1
25,1
26,1
27,1
28,0
29,0
30,0
31,1
32,0
33,0
34,1
35,1
36,1
37,1
38,0
39,0
40,1
41,0
42,1
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,1
53,1
54,0
55,1
56,1
57,0
58,0
59,0
60,1
61,0
62,0
63,0
64,0
65,1
66,1
67,0
68,1
69,1
70,0
71,1
72,0
73,0
74,1
75,0
76,0
77,0
78,0
79,0
80,1
81,1
82,0
83,1
84,1
85,0
86,0
87,1
88,1
89,0
90,1
91,0
92,0
93,1
94,0
95,1
96,0
97,0
98,1
99,0
100,0
101,1
102,0
103,1
104,1
105,0
106,0
107,0
108,0
109,0
110,0
111,1
112,0
113,0
114,0
115,1
116,1
117,1
118,0
119,1
120,0
121,1
122,1
123,1
124,1
125,0
126,0
127,0
128,0
129,0
130,1
131,0
132,1
133,1
134,1
135,1
136,1
137,1
138,0
139,1
140,1
141,1
142,1
143,0
144,0
145,1
146,0
147,0
148,1
149,1
150,1
151,0
152,1
153,0
154,0
155,0
156,0
157,0
158,1
159,0
160,1
161,0
162,0
163,1
164,0
165,1
166,0
167,1
168,0
169,1
170,0
171,0
172,1
173,0
174,1
175,0
176,1
177,0
178,0
179,1
180,1
181,1
182,0
183,1
184,0
185,0
186,0
187,1
188,0
189,1
190,1
191,1
192,1
193,0
194,0
195,0
196,1
197,0
198,0
199,1
200,1
201,0
202,0
203,0
204,1
205,0
206,1
207,0
208,1
209,1
210,0
211,0
212,0
213,1
214,1
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,1
225,0
226,0
227,0
228,1
229,1
230,1
231,0
232,0
233,1
234,1
235,0
236,1
237,1
238,0
239,1
240,0
241,1
242,1
243,0
244,0
245,0
246,1
247,0
248,1
249,1
250,0
251,0
252,1
253,1
254,0
255,1
256,1
257,0
258,1
259,0
260,0
261,0
262,0
263,0
264,1
265,1
266,1
267,0
268,0
269,1
270,0
271,0
272,1
273,0
274,0
275,0
276,0
277,1
278,1
279,0
280,0
281,0
282,1
283,1
284,1
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,1
294,1
295,0
296,0
297,0
298,1
299,0
300,0
301,0
302,1
303,1
304,1
305,1
306,1
307,0
308,0
309,1
310,1
311,0
312,0
313,1
314,0
315,1
316,1
317,0
318,0
319,1
320,0
321,1
322,1
323,1
324,1
325,0
326,0
327,0
328,0
329,1
330,1
331,0
332,0
333,0
334,0
335,0
336,1
337,0
338,1
339,1
340,0
341,0
342,1
343,0
344,1
345,0
346,1
347,1
348,0
349,1
350,0
351,0
352,1
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,1
361,0
362,0
363,0
364,1
365,0
366,1
367,0
368,1
369,0
370,0
371,0
372,1
373,0
374,1
375,0
376,1
377,1
378,0
379,0
380,1
381,1
382,0
383,0
384,0
385,0
386,0
387,0
388,1
389,0
390,1
391,0
392,1
393,1
394,0
395,1
396,1
397,0
398,0
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,0
409,1
410,1
411,0
412,0
413,0
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,0
422,1
423,0
424,0
425,1
426,0
427,1
428,1
429,0
430,0
431,1
432,0
433,1
434,1
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,1
444,1
445,0
446,0
447,1
448,0
449,0
450,1
451,0
452,0
453,0
454,0
455,1
456,0
457,1
458,1
459,0
460,1
461,0
462,1
463,1
464,1
465,0
466,0
467,0
468,1
469,0
470,0
471,1
472,1
473,1
474,1
475,0
476,0
477,0
478,1
479,0
480,1
481,0
482,1
483,0
484,1
485,0
486,1
487,0
488,1
